从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
水体γ放射性测量中高纯锗探测效率刻度	水体γ放射性测量中高纯锗探测效率刻度HPGe探测器,探测效率,效率刻度,蒙特卡罗方法
不同生活型植物氮和非结构性碳对全球变化因子的响应	不同生活型植物氮和非结构性碳对全球变化因子的响应草地生态系统;非结构性碳水化合物;氮含量;生理机制;环境变化
“新浪潮”改变了明星的本质	\新浪潮\改变了明星的本质
非合作通信中的信道估计	低复杂度的OFDM信号信噪比的盲估计正交频分复用(OFDM),信噪比估计,带宽估计,高阶累积量,空载波
浅谈HPLC技术在用电信息采集系统中的应用	浅谈HPLC技术在用电信息采集系统中的应用电力线载波通信技术,用电信息采集,应用
基于GIS/GPS拖拉机播种作业路径规划系统的设计与研究	基于GIS/GPS拖拉机播种作业路径规划系统的设计与研究自动行驶,路径规划,路径跟踪,RTK技术
中医护理学的优势	传统中医护理在现代护理的优势及发展
基于图像识别的智能交通车牌识别系统设计	基于图像的车牌识别系统设计与实现图像处理;车牌识别;BP神经网络
长江经济带工业绿色发展 提升路径	长江经济带工业绿色发展效率测量与提升路径研究长江经济带,绿色发展效率,改进的灰色关联度,发展路径
Memory forensics	Visualizing Indicators of Rootkit Infections in Memory ForensicsDigital Forensics Framework,,Volatility,,memory analysis,,memory forensics,,rootkit detection
新生儿急性呼吸窘迫综合征的治疗进展分析	新生儿急性呼吸窘迫综合征的治疗进展分析新生儿急性呼吸窘迫综合征,治疗进展,分析
脏象是一种立体网络状结构	脏象是一种立体网络状结构脏象学说,代谢调节,立体网络状\结构\
嵌入式物联网应用	基于嵌入式平台的物联网网关关键技术研究物联网;嵌入式平台;数据传输;网关系统
OCDMA系统地址码码字结构及其编解码技术研究	OCDMA系统地址码码字结构及其编解码技术研究光码分多址;光地址序列码;光素数码;光正交码;码字结构;有限射影几何;有限区组;光纤延时线;超结构光纤光栅;二维编解码
社会分层与社会流动	中国社会分层与流动研究70年社会分层,社会流动,社会变迁
湿证 2型糖尿病 相关性	2型糖尿病湿热体质患者中医证候的相关性分析2型糖尿病;湿热体质;中医证候;辨证模式
Ⅱ期结直肠癌根治术淋巴结检出数目与患者预后的关系	Ⅱ期结直肠癌根治术淋巴结检出数目与患者预后的关系结直肠肿瘤,Ⅱ期,结直肠癌根治术,淋巴结检出数目,预后
手术导航系统流程分析	手术导航系统流程分析手术导航,影像处理,定位,配准
蛋鸡饲养管理和抗生素使用原则	蛋鸡饲养管理和抗生素使用原则蛋鸡,饲养管理,抗生素,使用原则
中医护理技术的应用现状	中医护理技术在基层综合医院的应用现状与思考中医护理,技术,应用,现状
电磁成形中电磁技术问题研究进展	电磁成形中电磁技术问题研究进展电磁成形,驱动线圈,电磁技术问题,电磁力分布,温升
监督体系存在的问题	我国行政监督体系存在的问题及策略研究行政监督体系,问题,策略
颗粒物  个体采样	PM2.5和黑碳的个体暴露水平及其健康损伤研究细微颗粒物;黑碳;个体暴露;健康损伤
社区健康管理“4CH8” 模式理论与实践研究	社区健康管理4CH8模式研究
超选择性肾动脉栓塞术	经皮肾镜取石术后出血行超选择性肾动脉栓塞时机探讨经皮肾镜取石术,肾结石,选择性肾动脉栓塞
面向教育平台的程序在线评判	面向教育平台的程序在线评判系统设计与实现在线考试;教育平台;系统编程题;程序评判;缓存安全
胃癌胃周淋巴管、血管分布及变化规律	胃癌胃周淋巴管、血管分布及变化规律胃肿瘤,淋巴管,血管
建筑施工企业专业技术干部管理问题及对策	建筑施工企业专业技术干部管理问题及对策建筑施工企业,专业技术干部,流失问题,管理问题,对策
2006年川渝地区高温干旱特征及其成因分析	2006年川渝地区高温干旱特征及其成因分析高温干旱,西太平洋副热带高压,青藏高压,潜热释放,中纬度西风
体验营销与冲动性购买	体验营销与冲动性购买行为的关系分析——以食品行业为研究样本体验营销,冲动性,购买行为,关系
矩形双层微通道散热	单层及双层微通道内流体流动与传热特性研究三维集成电路;微通道结构;流体流动;传热特性
水稻谷粒冲击损伤临界速度分析	水稻谷粒冲击损伤临界速度分析水稻谷粒,冲击,损伤,临界速度,脱粒
新污染物 生物标志	生物标志物用于污染物的快速检测及毒性评价
速效、中效胰岛素联合方案	速效、中效胰岛素联合方案与胰岛素泵治疗妇科疾病合并糖尿病围术期患者的临床疗效对比生殖器疾病,女(雌)性,糖尿病,胰岛素,治疗结果
烟草机械化施肥技术研究	烟草机械化施肥技术研究烟草,机械施肥,外槽轮式排肥器,蜂窝煤形排肥器
海洋植物资源的开发和利用	河口湿地优势植物资源化利用研究进展河口湿地,优势植物,资源化利用,芦苇,互花米草
(热脉冲 or HPV) and (热耗散 or TDP) and (茎流 or 液流)	五针热脉冲探头在测定树干液流中的应用五针热脉冲数字探头(PHPP),树干液流,热扩散探针(TDP),干旱地区
几类非线性系统的分布式预测控制	几类非线性系统的分布式预测控制分布式预测控制;非线性系统;输出反馈;事件触发控制
时间护理加咽部冷刺激在脑卒中吞咽障碍患者早期康复中的应用研究	时间护理加咽部冷刺激在脑卒中吞咽障碍患者早期康复中的应用研究脑卒中,吞咽障碍,咽部冷刺激,时间护理,康复效果
染色体核型技术及高通量测序技术在胎儿先天性心脏病中的应用	先天性心脏病胎儿分子遗传学诊断研究胎儿;先天性心脏病;遗传学诊断;外显子捕获;高通量测序;基因突变
金娜娜.营养支持在胃肠肿瘤患者中的应用进展	营养支持在胃肠肿瘤患者中的应用进展胃肠肿瘤,营养支持,肠内营养,肠外营养
中国营养产业的 现状与发展趋势	中国营养产业的现状与发展趋势
企业财务风险控制问题及对策	企业财务风险控制问题及对策财务风险,成因,控制措施
华中科技大学附属协和医院 曹琪	自噬与肾癌发病相关性的研究进展自噬,肾癌,肾癌治疗
集体怀旧与文化身份建构 ————以眷村作家怀旧书写为例  周如艳	集体怀旧与文化身份建构——以眷村作家怀旧书写为例眷村文学;文化身份;艺术特征;美学思想
紫禁城建筑的政治内涵	紫禁城建筑的政治内涵紫禁城,帝王宫殿,殿阁建筑,君权至上
太湖县实验小学教师	好学若饥谦卑若愚 ——记安徽省特级教师王佩平
古诗文培养学生思维	高中古诗文教学中学生思维能力培养研究高中语文,古诗文教学,思维能力
edrawings	浅谈eDrawings软件在AutoCAD教学中的应用eDrawings,AutoCAD教学,三维零件,平面视图,相贯线,剖视图
延续护理对提高老年肠造口患者术后生活质量的影响	延续护理对提高老年肠造口患者术后生活质量的影响延续护理,结肠造口,老年患者,生活质量
化疗联合贝伐珠单抗治疗结直肠癌肝转移的临床观察	化疗联合贝伐珠单抗治疗结直肠癌肝转移的临床观察贝伐珠单抗,结直肠癌,联合化疗,肝转移瘤
经肛全直肠系膜切除术治疗直肠癌的发展与前景	经肛全直肠系膜切除术治疗直肠癌的发展与前景
输油管道电气设备管理	输油管道电气设备管理的安全性分析输油管道管理,电气设备管理,输油管道安全,电气设备安全
我国制药企业药品研发现状与对策探析	我国制药企业药品研发现状与对策探析制药企业,药品研发,技术创新
青年 高血压	健康宣教在青年舒张期高血压患者中的应用青年舒张期高血压,健康宣教,治疗依从性,护理满意度
工艺条件对壳聚糖和聚乙烯醇共混膜的生物粘附性影响	工艺条件对壳聚糖和聚乙烯醇共混膜的生物粘附性影响壳聚糖,聚乙烯醇,共混膜,生物粘附性
合同管理在房屋建筑工程中的作用	项目合同管理在房地产造价控制的作用项目合同,管理,房地产,造价控制,作用,分析
大豆脂肪酸的组成	18种大豆种子蛋白质、氨基酸和脂肪酸的组成成分分析大豆,蛋白质,氨基酸,脂肪,脂肪酸
	Comparing the diagnostic criteria for gestational diabetes mellitus of World Health Organization 2013 with 1999 in Chinese population
植物ABC和MATE转运蛋白与次生代谢物跨膜转运	植物ABC和MATE转运蛋白与次生代谢物跨膜转运次生代谢物,跨膜转运,ABC,MATE,转运蛋白
海上货运保险道德风险	出口货运保险中道德风险的防范和控制
虚拟电厂的优化调度及市场竞价	虚拟发电厂协调优化控制与竞价策略研究电力系统;虚拟发电厂;协调控制;优化调度;竞价策略
烧结工艺对破碎再生料硬质合金性能的影响	烧结工艺对破碎再生料硬质合金性能的影响烧结温度,硬质合金,破碎料
长江下游秦淮河流域径流变化及影响因素分析	长江下游秦淮河流域径流变化及影响因素分析径流变化,气候与下垫面变化,水热耦合平衡方程,贡献率,秦淮河流域
浅析园林工程的坡面绿化施工技术	浅析园林工程的坡面绿化施工技术园林工程,坡面绿化,施工技术
国内污水处理现状	论国内城市污水处理现状及发展趋势城市污水处理设施,发展趋势,国内,\八五\期间,环境综合治理,城市政府,城市化进程,设备供应商
小意识障碍 神经调控	无创神经调控在意识障碍中的研究进展意识障碍,无创神经调控,重复经颅磁刺激,经颅直流电刺激
美国法人人格否认	法人人格否认——法人及其责任（韩国/美国/中国）公司法人;人格否定制度;法律责任;立法完善
血清淀粉样蛋白A对2型糖尿病及其常见并发症影响的研究进展	血清淀粉样蛋白A对2型糖尿病及其常见并发症影响的研究进展血清淀粉样蛋白A,2型糖尿病,糖尿病并发症,综述
小学 数学 综合能力 培养	小学数学中对学生综合能力的培养研究小学数学,综合能力,培养研究
miR-214通过靶向调控E2F3抑制肝癌细胞的增殖	miR-214通过靶向调控E2F3抑制肝癌细胞的增殖miR-214,肝癌细胞,E2F3,增殖
时间的河流急遽地奔流	时间的河流急遽地奔流
骨肉瘤 新辅助化疗 亚型	头颈部骨肉瘤的诊断与治疗头颈部骨肉瘤,颌骨,诊断,间室切除,辅助放疗,辅助化疗,靶向治疗,预后
大豆蛋白功能性与挤压组织化产品特性的关系研究进展	大豆蛋白功能性与挤压组织化产品特性的关系研究进展大豆蛋白,功能性,挤压组织化
高强低松弛镀锌钢丝	大型斜拉桥用φ7.0 mm1860 MPa和2000 MPa超高强度镀锌钢丝研究
动漫视频类宣传的作用	动漫宣传片在地方特色文化宣传中的独到作用动漫宣传片,地方特色文化,角色,作用
幽门螺杆菌 甲硝唑 rdxA	甲硝唑耐药幽门螺杆菌的rdxA基因突变特征与影响因素幽门螺杆菌,cagA基因,vacA基因,rdxA基因,甲硝唑,耐药
试分析拉美文学中魔幻现实主义风格——以《百年孤独》为例	——以《百年孤独》为例拉美文学,《百年孤独》,魔幻现实主义,马尔克斯
